ID,Question (English),Options (English),Correct Answer,Question (Spanish),Options (Spanish)
1000,Which task is supported by the use of Access History in Snowflake?,"A. Data backups
B. Cost monitoring
C. Compliance auditing
D. Performance optimization",C,,
1001,Which feature of Snowflake’s Continuous Data Protection (CDP) has associated costs?,"A. Fail-safe
B. Network policies
C. End-to-end encryption
D. Multi-Factor Authentication (MFA)",A,,
1002,"When enabling access to unstructured data, which URL permits temporary access to a staged file without the need to grant privileges to the stage or to issue access tokens?","A. File URL
B. Scoped URL
C. Relative URL
D. Pre-Signed URL
Hide Answer
by  0e504b5 at Feb. 22, 2024, 3:04 a.m.
Comments
MatthieuDN5 months, 1 week ago
Selected Answer: B
B - Scoped url are for staged files https://docs.snowflake.com/en/user-guide/unstructured-intro#types-of-urls-available-to-access-files
upvoted 1 times
Mitchdu6 months, 1 week ago
Selected Answer: B
Literally the quote from documentation states that exact definition for Scoped
upvoted 1 times
Shipra1237 months, 3 weeks ago
The answer should be D - Pre-signed URL. ScopeURL you need access to stage as well.
upvoted 2 times
Damu1238 months ago
Suggested Answer:B
Community vote distribution
B (64%) D (36%)
B: Scoped url (Scoped URL
Encoded URL that permits temporary access to a staged file without granting privileges to the stage.
upvoted 1 times
MSIDDIQUI188 months, 2 weeks ago
Selected Answer: D
the GET_PRESIGNED_URL function to retrieve the pre-signed URLs for a set of staged files. The example specifies 60 seconds for the
EXPIRATION_TIME parameter so that the pre-signed URLs will only be accessible for one minute.
CREATE OR REPLACE SECURE VIEW images_presigned_v AS
SELECT GET_PRESIGNED_URL(@mystage, relative_path, 60) AS presigned_url
FROM DIRECTORY(@mystage);
upvoted 2 times
d22770a8 months, 2 weeks ago
Selected Answer: B
B - Scoped URL
upvoted 1 times
subhataanu1 year, 1 month ago
Selected Answer: B
Pre Signed URL need Access tokens but Scoped URL doesnt require access token and expires in 24 Hours
upvoted 4 times
yaho51 year, 2 months ago
Selected Answer: D
D - Encoded URL that permits temporary access to a staged file without granting privileges to the stage.
upvoted 1 times
yaho51 year, 2 months ago
Sorry, I was supposed to type B
upvoted 1 times
VenkataPhaniPavanKumar1 year, 3 months ago
Answer is B
Scoped URL: Encoded URL that permits temporary access to a staged file without granting privileges to the stage.
The URL expires when the persisted query result period ends (i.e. the results cache expires), which is currently 24 hours.
Source: https://docs.snowflake.com/en/user-guide/unstructured-intro#:~:text=Scoped%20URL,granting%20privileges%20to%20the%20stage.
upvoted 3 times
0e504b51 year, 4 months ago
Selected Answer: D
D. Pre-Signed URL
https://docs.snowflake.com/en/user-guide/unstructured-intro
Used to download or access files without authenticating into Snowflake or passing an authorization token. Pre-signed URLs are open; any user or
application can directly access or download the files. Ideal for business intelligence applications or reporting tools that need to display the
unstructured file contents.
Any person who has the pre-signed URL can access the referenced file for the life of the token.
upvoted 3 times
Snowflake Discussions
Exam SnowPro Core All Questions
View all questions & answers for the SnowPro Core exam
Go to Exam
EXAM SNOWPRO CORE TOPIC 1 QUESTION 1003 DISCUSSION
Actual exam question from Snowflake's SnowPro Core",B,,
1003,"Which Snowflake function is maintained separately from the data and helps to support features such as Time Travel, Secure Data Sharing, and pruning?","A. Column compression
B. Data clustering
C. Micro-partitioning
D. Metadata management",D,,
1004,A tag object has been assigned to a table (TABLE_A) in a schema within a Snowflake database. Which CREATE object statement will automatically assign the TABLE_A tag to a target object?,"A. CREATE TABLE [table_name] LIKE TABLE_A;
B. CREATE VIEW [view_name] AS SELECT * FROM TABLE_A;
C. CREATE TABLE [table_name] AS SELECT * FROM TABLE_A;
D. CREATE MATERIALIZED VIEW [view_name] AS SELECT * FROM TABLE_A;",A,,
1005,"In addition to performing all the standard steps to share data, which privilege must be granted on each database referenced by a secure view in order to be shared?","A. READ
B. REFERENCES
C. REFERENCE_USAGE
D. USAGE",C,,
1006,"Which function can be used with the COPY INTO [LOCATION] statement to convert rows from a relational table to a single VARIANT column, and to unload rows into a JSON file?","A. FLATTEN
B. OBJECT_AS
C. OBJECT_CONSTRUCT
D. TO_VARIANT
Hide Answer
by  tidz at Feb. 8, 2024, 4:02 p.m.
Comments
MatthieuDN5 months, 1 week ago
Selected Answer: C
C - this type of question comes back often
upvoted 1 times
d22770a8 months, 2 weeks ago
Selected Answer: C
OBJECT_CONSTRUCT: Converts the row into a JSON object stored in a VARIANT column.
upvoted 1 times
cybe0011 year, 1 month ago
D is correct
D. USAGE: The USAGE privilege on a database allows users to access objects within the database, which is necessary for the users who will be
accessing the shared secure view. This privilege is required to ensure that users can resolve references to objects in the database when querying
the secure view.
upvoted 1 times",C,,
1007,Which type of role can be granted to a share?,"A. Account role
B. Custom role
C. Database role
D. Secondary role",C,,
1008,"When unloading data with the COPY INTO [location] command, what is the purpose of the PARTITION BY parameter option?","A. To sort the contents of the output file by the specified expression.
B. To delimit the records in the output file using the specified expression.
C. To include a new column in the output using the specified window function expression.
D. To split the output into multiple files, one for each distinct value of the specified expression.",D,,
1009,What are potential impacts of storing non-native values like dates and timestamps in a VARIANT column in Snowflake?,"A. Faster query performance and increased storage consumption
B. Slower query performance and increased storage consumption
C. Faster query performance and decreased storage consumption
D. Slower query performance and decreased storage consumption",B,,
